Accident_Id;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
202200011485;22;3;2022;17:45;1;73;73183;1;4;1;3;Chemin du Lac des Pères;45.510027;5.982962
202200011487;29;4;2022;07:15;1;89;89239;1;6;1;3;route nationale 60;48.187806;3.318515
202200011512;24;12;2022;17:00;2;62;62199;2;3;1;2;D341;50.3728;2.63685
202200011519;16;3;2022;22:00;5;92;92012;2;1;1;3;NATIONALE (RUE) 1/37 - 2/30BIS;48.82543;2.24359
202200011541;28;4;2022;17:15;1;01;01025;2;2;1;3;D80;46.337173;4.989102
202200011560;3;9;2022;10:00;1;85;85006;1;1;1;4;RD40;46.756453;-1.715192
202200011565;10;9;2022;18:50;5;987;98722;2;1;3;3;PK 27.700 C/MONTAGNE TIAREI;-17.592;-149.391
202200011583;29;4;2022;12:15;1;73;73248;2;6;1;3;Avenue du 8 mai 1945;45.272591;6.361556
202200011605;28;4;2022;17:26;1;60;60149;2;9;1;3;Rue de Beauvais;49.346899;2.679656
202200011638;8;9;2022;13:35;1;61;61143;2;6;8;7;PONT DU FRESNE (RUE DU);48.44589;0.06321
202200011645;25;4;2022;09:00;1;974;97416;2;3;1;3;PARADIS (LIGNE) (2);-21.30117;55.45744
202200011650;10;9;2022;13:30;1;974;97407;1;1;1;7;ROUTE NATIONALE N° 1;-20.9499;55.3199
202200011668;10;9;2022;17:45;1;64;64284;2;1;1;3;OLLE LAPRUNE;43.28481;-0.38775
202200011670;10;9;2022;12:20;1;64;64348;2;6;1;3;EUROPE DE L';43.3209940986;-0.3919351101
202200011672;10;9;2022;09:30;1;64;64237;2;6;1;3;D 802;43.2790435022;-0.3755763173
202200011679;1;9;2022;16:08;1;54;54431;1;1;1;7;RD 657 ;48.922;6.06546
202200011692;10;9;2022;18:34;1;47;47032;1;9;1;1;CASSOU (Rte de);44.190432;0.68541
202200011702;10;7;2022;22:10;5;42;42218;2;2;1;3;Rue Chevreul;45.42445;4.39309
202200011711;26;4;2022;11:00;1;33;33281;2;6;1;3;Avenue du Maréchal Leclerc;44.83706;-0.64692
202200011713;25;4;2022;16:15;1;33;33032;2;1;1;3;Rue du Maréchal Joffre;44.89834;-0.51006
202200011730;15;4;2022;12:00;1;13;13201;2;2;1;3;FRANKLIN ROOSEVELT (COURS)   1 A 37;43.2991;5.38802
202200011744;10;9;2022;10:15;1;75;75111;2;2;2;3;RUE JEAN PIERRE TIMBAUD;48.864865;2.366538
202200011752;10;9;2022;13:15;1;75;75108;2;3;2;6;AVENUE DES CHAMPS ELYSEES;48.86708;2.316121
202200011753;26;4;2022;22:28;5;75;75106;2;2;1;3;RUE DE TOURNON;48.85147;2.337059
202200011754;10;9;2022;03:20;5;75;75109;2;5;8;2;BOULEVARD MONTMARTRE;48.871977;2.340045
202200011760;26;4;2022;21:10;5;75;75119;2;4;1;3;AVENUE DU BELVEDERE;48.8804677531;2.4071136117
202200011762;26;4;2022;14:20;1;75;75119;2;4;1;6;AVENUE JEAN JAURES;48.8830929655;2.3714549839
202200011767;26;4;2022;17:40;1;75;75118;2;2;1;6;BOULEVARD BARBES;48.886554;2.349558
202200011769;26;4;2022;20:25;2;75;75115;2;2;1;3;BOULEVARD PASTEUR;48.842998;2.312797
202200011777;26;4;2022;10:30;1;75;75111;2;2;1;6;BOULEVARD VOLTAIRE;48.865187;2.36773
202200011781;11;9;2022;10:45;1;63;63084;1;1;1;2;RD 2089;45.70268;3.044441
202200011793;26;4;2022;08:00;1;94;94068;2;1;1;1;52 Quai du Parc;48.81001;2.49918
202200011812;25;4;2022;16:40;1;92;92046;2;3;1;3;GABRIEL PERI (BOULEVARD);48.8192182161;2.3009385019
202200011827;11;9;2022;09:30;1;90;90093;2;1;1;7;10 Rue de la Pouchotte;47.688894;6.830803
202200011849;26;4;2022;12:40;1;2A;2A104;2;1;1;2;D103;41.92088;8.903947
202200011881;27;4;2022;15:30;1;69;69244;2;6;1;3;Rond-Point des Clarisses;45.765788;4.751878
202200011903;6;2;2022;01:39;5;76;76322;2;1;1;2;Avenue des Canadiens;49.39201;1.058019
202200011913;4;2;2022;02:00;5;67;67447;2;3;1;3;BISCHWILLER (ROUTE DE);48.6114281238;7.7510046959
202200011930;6;2;2022;11:18;1;56;56162;1;6;2;3;PENESCLUZ;47.75065;-3.41904
202200011932;2;9;2022;12:00;1;54;54528;2;9;1;2;GENERAL BIGEARD (AVENUE);48.66851;5.88944
202200011942;13;10;2022;16:35;1;51;51454;2;6;2;3;Avenue du Maréchal Juin;49.22494;4.01778
202200011943;2;2;2022;17:20;1;43;43251;2;1;8;6;12 Chemin de la Sermone;45.0361072921;3.8783347607
202200011963;13;10;2022;13:50;1;45;45232;2;2;1;3;D168 PK 1 + 160;47.84621;1.8917
202200011967;13;10;2022;12:40;1;44;44184;2;6;2;3;21 Boulevard de Sunderland;47.27095;-2.2443
