Num_Acc;id_usager;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp;age
202100015558;230 470;173 871;B01;1;1;4;1;2007.0;0;8;-1;-1;-1; -1;-1;15.0
202100015558;230 471;173 872;A01;1;1;1;2;1972.0;0;1;-1;-1;-1; -1;-1;50.0
202100015567;230 455;173 860;B01;1;1;4;1;1971.0;1;8;0;-1;-1; -1;-1;51.0
202100015567;230 456;173 861;A01;1;1;1;1;1965.0;1;1;0;-1;-1; -1;-1;57.0
202100015575;230 435;173 843;A01;1;1;1;1;1977.0;0;8;0;-1;-1; -1;-1;45.0
202100015575;230 436;173 844;B01;1;1;3;1;2010.0;0;8;0;-1;-1; -1;-1;12.0
202100015601;230 374;173 797;B01;1;1;4;2;1978.0;1;2;-1;-1;0; -1;-1;44.0
202100015601;230 375;173 798;A01;1;1;1;1;2003.0;2;1;-1;-1;0; -1;-1;19.0
202100015604;230 365;173 789;B01;1;1;4;1;1999.0;0;8;-1;-1;0;0;-1;23.0
202100015604;230 366;173 790;A01;1;1;1;1;1963.0;4;1;-1;-1;0;0;-1;59.0
202100015605;230 363;173 787;A01;1;1;1;2;1962.0;5;1;0;-1;-1; -1;-1;60.0
202100015605;230 364;173 788;B01;1;1;4;1;1961.0;0;-1;0;-1;-1; -1;-1;61.0
202100015606;230 358;173 784;C01;1;2;1;2;2014.0;-1;2;0;0;-1; -1;-1;8.0
202100015606;230 359;173 784;C01;2;2;1;2;2016.0;-1;2;0;0;-1; -1;-1;6.0
202100015606;230 360;173 784;C01;1;1;1;1;1983.0;-1;2;9;0;-1; -1;-1;39.0
202100015606;230 361;173 785;A01;1;1;3;1;1962.0;0;1;8;-1;-1; -1;-1;60.0
202100015606;230 362;173 786;B01;1;1;4;1;1966.0;1;1;0;-1;-1; -1;-1;56.0
202100015629;230 294;173 734;B01;1;1;3;1;1956.0;5;2;8;-1;-1; -1;-1;66.0
202100015629;230 295;173 735;A01;1;1;1;1;1981.0;4;1;0;-1;-1; -1;-1;41.0
202100015630;230 292;173 733;A01;1;1;3;1;1951.0;0;2;0;-1;0;0;-1;71.0
202100015630;230 293;173 733;A01;10;3;3;2;1982.0;5;0;-1;-1;1;3;1;40.0
202100015633;230 286;173 728;Z01;1;1;1;-1;;-1;-1;-1;-1;-1; -1;-1;
202100015633;230 287;173 729;B01;1;1;3;1;2009.0;2;8;0;-1;-1; -1;-1;13.0
202100015647;230 255;173 702;A01;1;1;4;1;1954.0;5;0;0;-1;-1; -1;-1;68.0
202100015651;230 245;173 693;A01;1;1;1;2;1998.0;5;1;0;-1;-1; -1;-1;24.0
202100015651;230 246;173 694;B01;1;1;4;2;1965.0;5;0;0;-1;-1; -1;-1;57.0
202100015651;230 247;173 695;T01;1;1;1;-1;;-1;-1;-1;-1;-1; -1;-1;
202100015654;230 237;173 687;A01;1;1;1;2;1951.0;0;1;0;-1;-1; -1;-1;71.0
202100015654;230 238;173 688;Z01;1;1;4;1;1984.0;0;8;0;-1;-1; -1;-1;38.0
