Num_Acc;id_vehicule;num_veh;senc;catv;obs;obsm;choc;manv;motor;occutc
201900033732;138 242 815;B01;1;1;0;2;1;1;5;
201900033739;138 242 800;B01;3;1;1;0;0;26;5;
201900033753;138 242 775;B01;1;1;0;2;3;1;5;
201900033759;138 242 763;B01;3;1;0;2;3;2;5;
201900033763;138 242 754;B01;3;1;0;2;2;1;5;
201900033763;138 242 755;A01;3;1;0;0;0;15;5;
201900033764;138 242 752;B01;1;1;0;0;4;2;5;
201900033805;138 242 674;A01;0;1;0;2;1;13;5;
201900033807;138 242 669;A01;0;1;0;2;1;19;5;
201900033811;138 242 662;B01;2;1;0;2;4;19;5;
201900033815;138 242 655;A01;2;1;12;0;1;14;5;
201900033822;138 242 642;B01;0;1;0;2;7;17;5;
201900033823;138 242 640;B01;0;1;0;2;0;1;0;
201900033825;138 242 635;A01;2;1;0;2;8;0;0;
201900033828;138 242 631;A01;3;1;0;2;1;25;5;
201900033831;138 242 625;B01;2;1;0;2;1;1;5;
201900033839;138 242 603;B01;2;1;0;2;3;1;5;
201900033845;138 242 593;B01;1;1;0;2;4;2;5;
201900033883;138 242 520;C01;2;1;0;2;4;1;5;
201900033886;138 242 515;B01;1;1;0;2;8;2;5;
201900033909;138 242 475;A01;1;1;0;0;1;14;5;
201900033913;138 242 469;B01;1;1;0;2;7;1;0;
201900033913;138 242 470;C01;1;1;0;2;5;1;0;
201900033925;138 242 449;B01;2;1;0;2;1;1;5;
201900033930;138 242 439;B01;2;1;0;2;3;1;5;
201900033939;138 242 423;A01;1;1;1;0;1;14;5;
201900033943;138 242 417;A01;2;1;0;2;4;1;5;
201900033945;138 242 411;A01;1;1;0;2;2;17;5;
201900033990;138 242 328;B01;2;1;0;2;1;1;5;
201900033993;138 242 323;A01;2;1;16;0;1;1;5;
201900034009;138 242 298;A01;2;1;0;0;1;21;5;
201900034022;138 242 256;B01;1;1;0;2;7;1;0;
201900034048;138 242 207;A01;3;1;0;2;1;15;5;
201900034070;138 242 165;B01;1;1;0;2;7;26;5;
201900034072;138 242 161;B01;3;1;0;2;1;16;5;
201900034075;138 242 154;B01;3;1;0;2;0;19;5;
201900034079;138 242 147;A01;1;1;6;0;0;13;5;
201900034095;138 242 119;A01;2;1;0;0;0;1;5;
201900034108;138 242 092;B01;3;1;0;2;1;1;5;
201900034121;138 242 066;B01;3;1;0;2;1;1;0;
201900034122;138 242 062;A01;1;1;12;0;1;1;5;
201900034131;138 242 047;B01;3;1;0;2;1;1;5;
201900034132;138 242 046;B01;2;1;0;2;1;1;5;
201900034145;138 242 020;A01;2;1;0;2;1;13;5;
201900034151;138 242 004;B01;3;1;0;2;1;16;5;
201900034154;138 241 997;B01;3;1;0;2;8;26;5;
201900034162;138 241 979;B01;1;1;0;2;1;1;0;
201900034176;138 241 952;A01;1;1;14;0;1;25;5;
201900034182;138 241 937;A01;1;1;0;2;4;1;6;
201900034190;138 241 917;A01;1;1;0;2;7;15;6;
201900034196;138 241 907;B01;3;1;0;2;7;1;5;
201900034200;138 241 898;B01;1;1;0;2;3;11;5;
201900034206;138 241 885;A01;2;1;0;1;1;1;5;
201900034208;138 241 881;B01;0;1;0;2;2;1;0;
201900034214;138 241 869;B01;1;1;0;2;3;1;5;
201900034229;138 241 843;B01;3;1;0;2;8;19;5;
201900034242;138 241 824;B01;2;1;0;2;1;1;5;
201900034261;138 241 785;B01;2;1;0;2;4;1;5;
201900034274;138 241 761;A01;1;1;0;0;0;1;5;
201900034276;138 241 758;A01;2;1;0;2;1;1;5;
201900034279;138 241 753;A01;2;1;0;6;1;25;5;
201900034279;138 241 754;B01;1;1;0;6;1;26;5;
201900034294;138 241 730;A01;1;1;12;0;1;1;5;
201900034300;138 241 718;A01;0;1;0;2;1;26;5;
201900034306;138 241 706;A01;2;1;0;2;8;2;5;
201900034308;138 241 703;A01;2;1;0;2;4;2;5;
201900034343;138 241 643;B01;2;1;0;2;1;11;5;
201900034403;138 241 515;C01;1;1;0;0;8;1;5;
201900034403;138 241 516;B01;1;1;16;0;0;1;5;
201900034411;138 241 502;B01;1;1;0;2;7;1;5;
201900034413;138 241 499;A01;1;1;0;2;1;19;5;
201900034414;138 241 496;B01;3;1;0;2;7;1;5;
201900034431;138 241 462;B01;3;1;0;2;1;1;5;
201900034477;138 241 383;A01;1;1;0;6;0;0;6;
201900034500;138 241 340;B01;3;1;0;2;4;19;5;
201900034514;138 241 313;B01;0;1;0;2;1;1;5;
201900034616;138 241 119;B01;3;1;0;2;1;19;0;
201900034619;138 241 112;B01;2;1;0;2;1;1;0;
201900034623;138 241 105;B01;1;1;0;2;4;15;5;
201900034635;138 241 078;A01;3;1;0;1;8;26;5;
201900034640;138 241 071;A01;2;1;1;0;1;1;5;
201900034663;138 241 032;Z01;1;1;0;1;1;1;5;
201900034688;138 240 994;B01;1;1;0;2;5;1;5;
201900034691;138 240 990;A01;1;1;0;0;4;2;5;
201900034761;138 240 838;C01;0;1;0;2;0;1;-1;
201900034762;138 240 836;B01;1;1;0;2;7;19;5;
201900034772;138 240 816;A01;2;1;0;2;1;1;5;
201900034773;138 240 814;B01;3;1;0;2;1;1;5;
201900034786;138 240 781;B01;3;1;0;2;1;1;5;
201900034791;138 240 773;A01;1;1;0;2;1;19;5;
201900034796;138 240 763;B01;2;1;0;2;0;1;5;
201900034801;138 240 755;A01;3;1;14;0;1;1;5;
201900034816;138 240 731;A01;2;1;0;0;8;1;6;
201900034884;138 240 570;A01;1;1;0;1;1;1;5;
201900034887;138 240 567;A01;2;1;9;0;0;1;0;
201900034892;138 240 559;A01;2;1;1;1;1;1;6;
201900034898;138 240 549;A01;1;1;0;2;4;1;5;
201900034912;138 240 522;B01;1;1;0;2;1;1;5;
201900034930;138 240 483;B01;3;1;0;2;1;1;0;
201900034931;138 240 481;B01;1;1;0;2;2;1;5;
201900034944;138 240 454;A01;3;1;0;2;1;9;5;
201900034945;138 240 453;B01;1;1;0;2;7;1;5;
201900034947;138 240 448;C01;1;1;0;2;5;25;5;
201900034955;138 240 428;B01;2;1;0;2;3;1;5;
201900034972;138 240 400;B01;3;1;0;2;1;19;5;
201900034986;138 240 371;A01;1;1;0;2;8;1;5;
201900035012;138 240 319;A01;1;1;0;2;1;9;5;
201900035052;138 240 248;B01;2;1;0;2;8;1;5;
201900035055;138 240 245;B01;2;1;0;2;1;13;5;
201900035074;138 240 217;B01;3;1;1;0;8;13;6;
201900035078;138 240 210;A01;2;1;0;2;8;1;0;
201900035082;138 240 204;A01;3;1;8;0;1;26;5;
201900035109;138 240 137;A01;3;1;0;2;1;19;5;
201900035125;138 240 110;A01;0;1;0;2;8;26;5;
201900035125;138 240 111;B01;0;1;0;0;0;0;0;
201900035126;138 240 109;A01;1;1;0;2;1;5;5;
201900035127;138 240 107;A01;0;1;0;0;0;25;5;
201900035130;138 240 102;B01;3;1;12;2;4;2;5;
201900035134;138 240 096;A01;3;1;0;1;1;18;5;
201900035164;138 240 047;B01;1;1;0;0;8;26;5;
201900035169;138 240 035;A01;1;1;0;0;7;26;5;
201900035177;138 240 018;B01;2;1;0;0;0;1;5;
201900035185;138 240 006;A01;1;1;0;2;1;5;5;
201900035203;138 239 976;B01;1;1;0;0;4;13;6;
201900035220;138 239 950;B01;2;1;0;2;1;5;5;
201900035245;138 239 887;B01;2;1;0;2;1;1;5;
201900035282;138 239 797;A01;1;1;0;1;1;26;5;
201900035296;138 239 769;B01;1;1;0;2;1;1;5;
201900035318;138 239 731;B01;1;1;0;2;1;1;5;
201900035320;138 239 728;A01;1;1;0;1;1;16;5;
201900035321;138 239 727;B01;2;1;0;2;2;25;5;
201900035325;138 239 718;A01;1;1;0;2;1;19;0;
201900035326;138 239 717;B01;3;1;0;2;1;1;5;
201900035334;138 239 700;B01;1;1;0;2;1;2;0;
201900035335;138 239 698;A01;3;1;0;2;2;19;5;
201900035345;138 239 680;A01;3;1;0;2;1;16;5;
201900035349;138 239 673;B01;1;1;0;2;1;1;5;
201900035351;138 239 669;B01;1;1;0;2;7;19;5;
201900035352;138 239 667;B01;1;1;0;2;1;15;0;
201900035384;138 239 590;B01;2;1;0;2;1;19;5;
201900035422;138 239 513;B01;2;1;0;2;3;19;5;
201900035440;138 239 481;B01;1;1;0;0;0;0;5;
201900035441;138 239 478;A01;2;1;0;2;7;19;5;
201900035442;138 239 475;C01;-1;1;1;0;-1;-1;5;
201900035453;138 239 459;A01;1;1;1;0;1;1;5;
201900035459;138 239 448;B01;3;1;0;2;8;1;5;
201900035462;138 239 442;B01;3;1;0;2;3;2;5;
201900035463;138 239 440;B01;3;1;0;2;1;1;-1;
201900035470;138 239 423;A01;3;1;0;2;1;2;5;
201900035481;138 239 400;B01;0;1;0;2;1;1;5;
201900035486;138 239 391;B01;1;1;0;2;1;1;5;
201900035508;138 239 351;B01;2;1;0;0;0;1;5;
201900035509;138 239 349;B01;1;1;0;2;1;1;5;
201900035515;138 239 338;B01;2;1;0;2;8;1;5;
201900035521;138 239 330;B01;1;1;0;2;3;13;5;
