Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
202000002987;4;MARE (RUE DE LA);0;;2;2;0;2;0;0;1;; -1;1;0;4;50
202000002992;4;AVE PASTEUR;0;;2;5;2;1;(1);(1);1;; -1;1;5;1;50
202000002994;4;RUE DETROIS;0;;1;1;0;1;(1);(1);1;; -1;1;0;1;50
202000003030;3;BELPECH ROUTE DE;0;;-1;2;0;1;0;0;1;; -1;1;0;1;80
202000003032;4;FAUVINS ( ROUTE  DES );0;;2;2;0;1;0;1;1;; -1;1;0;1;50
202000003037;4;BREMONT;0;;2;2;0;1;0;0;1;; -1;2;0;1;60
202000003038;4;;0;;1;1;0;1;0;0;1;; -1;1;0;1;30
202000003041;4;;0;;2;2;3;1;(1);(1);1;; -1;2;-1;6;50
202000003047;4;;0;;2;2;0;1;0;0;1;; -1;2;0;1;30
202000003052;4;MITTERAND (MAIL FRANCOIS);0;;2;3;2;1;0;0;1;; -1;1;0;1;30
202000003069;3;931;0;;2;4;0;1;0;1;1;; -1;1;0;1;50
202000003072;4;;0;;2;2;0;1;0;0;1;; -1;1;0;1;50
202000003087;3;2;0;;2;2;0;1;0;0;1;; -1;1;5;1;50
202000003113;3;919;-1;;2;2;0;2;4;900;1;; -1;1;0;1;80
202000003114;4;;0;;3;2;0;1;0;0;1;; -1;2;0;1;50
202000003115;3; 66;-1;;2;2;0;1;18;460;2;; -1;1;5;1;70
202000003116;4;;0;;2;2;1;1;0;0;1;; -1;1;5;1;50
202000003118;4;;0;;2;2;0;1;0;0;1;; -1;2;0;1;30
202000003120;3;285;-1;;2;2;0;1;2;630;1;; -1;1;0;1;50
202000003123;4;;0;;2;2;0;1;0;0;1;; -1;2;0;1;30
202000003130;4;;0;;2;4;0;1;0;0;1;; -1;2;0;1;50
202000003131;4;;0;;2;3;0;1;0;0;1;; -1;2;6;1;30
