Num_Acc;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
202300024133;14;11;2023;08:40;1;75;75118;2;2;8;3;BOULEVARD BARBES;48,88835200;2,34958400
202300024146;27;5;2023;11:49;1;92;92048;2;4;1;2;LARRIS (RUE DES);48,80875623;2,24462762
202300024170;15;11;2023;09:25;1;75;75107;2;2;1;3;QUAI D ORSAY;48,86282800;2,31346600
202300024172;25;1;2023;14:40;1;10;10387;2;2;1;3;PAIX (RUE DE LA);48,30900000;4,06100000
202300024187;9;3;2023;08:10;1;92;92072;2;1;1;1;GRANDE RUE;48,82422000;2,21254000
202300024189;14;11;2023;19:10;5;94;94015;2;1;2;1;Quai Louis Ferber;48,83134500;2,51677600
202300024222;7;3;2023;17:40;2;972;97223;2;4;1;1;Route d̩partementale 6;14,55846500; -60,94280400
202300024234;26;1;2023;17:23;2;93;93073;2;2;2;3;Avenue Lavoisier / Avenue Gilbert Berger;48,95288000;2,58949000
202300024250;26;1;2023;07:55;2;93;93006;2;2;1;3;Avenue de Stalingrad / Rue Jeanne Hornet;48,87425000;2,42804000
202300024273;26;1;2023;19:30;3;51;51527;1;1;8;1;D28;49,25804910;3,78746688
202300024275;15;11;2023;18:50;5;68;68145;2;1;1;3;38 Grand'Rue;48,08137800;7,39232400
202300024280;28;5;2023;10:45;1;63;63239;2;1;1;3;d̩partemental 9;45,70315800;3,35742800
202300024298;26;1;2023;10:50;1;29;29062;1;1;1;6;Penc?hoad;48,16287600; -4,01139400
202300024335;28;5;2023;11:47;1;02;02382;1;1;1;3;;49,85113200;3,20282100
202300024355;15;11;2023;10:30;1;17;17003;1;6;1;2;D939;46,10333700; -0,94054300
202300024385;9;3;2023;17:18;1;38;38474;1;1;1;2;Route de Villard de Lans;45,22270700;5,65139300
202300024389;15;11;2023;18:55;3;84;84067;2;1;1;2;1469 route de carpentras;44,06874000;5,01973300
202300024391;10;3;2023;15:20;1;26;26220;2;9;1;1;69 Route de Montelimar;44,36486300;5,12599600
202300024411;9;3;2023;16:00;1;59;59497;1;2;2;7;1 rue du mont d'hiver;50,71358400;2,37041800
202300024445;27;5;2023;09:45;1;38;38236;2;3;1;7;Chemin du Verney;45,40484600;5,69200700
202300024460;8;3;2023;10:30;1;91;91514;2;6;2;3;RTE DE BRUNOY;48,67817000;2,52710000
202300024467;27;5;2023;16:10;1;22;22260;1;1;1;5;Lohan;48,23746500; -2,90005800
202300024493;12;9;2023;12:05;1;84;84119;2;6;1;1;Avenue de la R̩tanque;43,95688900;4,93085000
202300024500;8;3;2023;10:00;1;67;67482;2;1;1;3;VICTOIRE (BOULEVARD DE LA);48,58228800;7,76529200
202300024527;6;3;2023;13:50;1;51;51454;2;1;1;6;rue de Mulhouse;49,24503000;4,01696000
202300024537;23;2;2023;17:15;1;73;73011;2;6;1;3;SAINTE THERESE (AVENUE);45,66703000;6,38151000
202300024539;20;8;2023;12:15;1;74;74082;1;2;7;1;961 Route de la croisette;46,13696500;6,16130200
202300024545;26;5;2023;14:00;1;69;69386;2;2;1;1;Rue Sully;45,77110000;4,84850000
202300024549;8;3;2023;15:40;1;38;38185;2;1;8;3;Rue de Stalingrad;45,17147000;5,72414000
202300024554;2;8;2023;09:30;1;74;74033;1;1;1;7;Route des avanchy;46,35237800;6,63893900
202300024577;8;3;2023;15:20;1;31;31483;2;6;1;3;D 5;43,09522000;0,73650000
202300024588;26;5;2023;15:55;1;86;86194;2;1;1;7;Avenue de l'Europe;46,59215300;0,34800800
202300024591;26;5;2023;13:50;1;83;83137;2;1;1;3;CHARCOT (QUAI JEAN);43,12830000;5,90052000
202300024608;19;4;2023;15:55;1;62;62765;2;3;1;3;D209;50,75952000;2,27916000
202300024609;14;11;2023;18:20;5;69;69388;2;2;2;1;Avenue G̩n̩ral Fr̬re;45,72685111;4,88542132
202300024612;11;7;2023;08:45;1;74;74173;2;9;1;6;Route edmond de rothschild;45,85991300;6,63061400
202300024627;11;9;2023;14:05;1;75;75119;2;4;1;6;QUAI DE L OISE;48,89050900;2,38312800
202300024634;11;9;2023;12:00;1;75;75118;2;4;1;2;RUE RAMEY;48,88707500;2,34754300
202300024640;19;12;2023;20:25;5;69;69275;2;1;1;2;Rue Elis̩e Reclus;45,74807000;4,93773000
202300024649;11;9;2023;08:15;1;75;75109;2;1;1;7;RUE BLANCHE;48,87937200;2,33142700
202300024651;10;9;2023;23:45;5;75;75109;2;3;1;6;BOULEVARD MONTMARTRE;48,87148200;2,34308000
202300024655;11;9;2023;18:41;1;75;75107;2;1;1;3;AVENUE DE SUFFREN;48,85523500;2,29454900
202300024658;11;9;2023;16:50;1;75;75101;2;1;1;3;RUE JEAN JACQUES ROUSSEAU;48,86439100;2,34415700
202300024674;13;11;2023;19:15;2;84;84007;2;1;1;3;DALADIER (Pont);43,95079000;4,80222000
202300024675;18;8;2023;00:15;5;93;93070;2;1;1;2;Quai de Seine;48,91670273;2,32610534
202300024680;12;11;2023;10:37;1;84;84007;2;6;1;3;PIERRE SEMARD (avenue);43,93933000;4,82126000
202300024689;19;12;2023;08:00;2;49;49007;2;1;1;3;PATTON AVENUE;47,47310000; -0,60237000
202300024729;14;11;2023;17:50;5;69;69256;2;1;2;3;Route de Genas;45,74836704;4,92028606
